genre_name,genre_id
Drama,1
Mystery,2
Thriller,3
Adventure,4
Comedy,5
Family,6
Romance,7
Crime,8
History,9
Action,10
Biography,11
Fantasy,12
Sci-Fi,13
Music,14
Sport,15
Animation,16
Horror,17
Musical,18
War,19
Western,20
Documentary,21
Film-Noir,22
