person_id,person_name,person_gender
351,James Mangold,Hombre
352,James Marsh,Hombre
353,James McTeigue,Hombre
354,James Wan,Hombre
355,James Ward Byrkit,Hombre
356,James Watkins,Hombre
357,James Wong,Hombre
358,Jamie Payne,Hombre
359,Jan de Bont,Hombre
360,Jane Campion,Mujer
361,Janeen Damian,Mujer
362,Jared Bush,Hombre
363,Jared Hess,Hombre
364,Jared Stern,Hombre
365,Jason Friedberg,Hombre
366,Jason Moore,Hombre
367,Jason Reitman,Hombre
368,Jaume Collet-Serra,Hombre
369,Jay Roach,Hombre
370,Jean-François Richet,Hombre
371,Jean-Jacques Annaud,Hombre
372,Jean-Marc Vallée,Hombre
373,Jean-Pierre Jeunet,Hombre
374,Jeff Fowler,Hombre
375,Jeff Nichols,Hombre
376,Jeff Rowe,Hombre
377,Jeff Schaffer,Hombre
378,Jeff Wadlow,Hombre
379,Jemaine Clement,Hombre
380,Jenn Wexler,Mujer
381,Jennifer Yuh Nelson,Mujer
382,Jenny Gage,Mujer
383,Jeremiah S. Chechik,Hombre
384,Jerome Robbins,Hombre
385,Jerry Zucker,Hombre
386,Jessica Yu,Mujer
387,Jessie Nelson,Mujer
388,Jeymes Samuel,Hombre
389,Jim Abrahams,Hombre
390,Jim Henson,Hombre
391,Jim Sharman,Hombre
392,Jim Sheridan,Hombre
393,Jim Strouse,Hombre
394,Jimmy Chin,Hombre
395,Joachim Rønning,Hombre
396,Joaquim Dos Santos,Hombre
397,Joe Begos,Hombre
398,Joe Carnahan,Hombre
399,Joe Dante,Hombre
400,Joe Johnston,Hombre
401,Joe Lynch,Hombre
402,Joe Roth,Hombre
403,Joe Russo,Hombre
404,Joe Wright,Hombre
405,Joel Coen,Hombre
406,Joel Crawford,Hombre
407,Joel Edgerton,Hombre
408,Joel Gallen,Hombre
409,Joel Schumacher,Hombre
410,Joel Zwick,Hombre
411,John Badham,Hombre
412,John Boorman,Hombre
413,John Carney,Hombre
414,John Carpenter,Hombre
415,John Cornell,Hombre
416,John Erick Dowdle,Hombre
417,John Francis Daley,Hombre
418,John G. Avildsen,Hombre
419,John Glen,Hombre
420,John Hillcoat,Hombre
421,John Hughes,Hombre
422,John Huston,Hombre
423,John Irvin,Hombre
424,John Krasinski,Hombre
425,John Landis,Hombre
426,John Lasseter,Hombre
427,John Lee Hancock,Hombre
428,John McNaughton,Hombre
429,John McPhail,Hombre
430,John McTiernan,Hombre
431,John Milius,Hombre
432,John Moore,Hombre
433,John Pasquin,Hombre
434,John R. Cherry III,Hombre
435,John Singleton,Hombre
436,John Sturges,Hombre
437,John Wells,Hombre
438,John Whitesell,Hombre
439,John Woo,Hombre
440,Jon Avnet,Hombre
441,Jon Favreau,Hombre
442,Jon Lucas,Hombre
443,Jon M. Chu,Hombre
444,Jon S. Baird,Hombre
445,Jon Turteltaub,Hombre
446,Jon Watts,Hombre
447,Jonas Åkerlund,Hombre
448,Jonathan Dayton,Hombre
449,Jonathan Demme,Hombre
450,Jonathan Glazer,Hombre
451,Jonathan Hensleigh,Hombre
452,Jonathan Levine,Hombre
453,Jonathan Liebesman,Hombre
454,Jonathan Lynn,Hombre
455,Jonathan Mostow,Hombre
456,Jordan Peele,Hombre
457,Jordan Vogt-Roberts,Hombre
458,Joseph Gordon-Levitt,Hombre
459,Joseph Kosinski,Hombre
460,Joseph Ruben,Hombre
461,Josh Boone,Hombre
462,Josh Cooley,Hombre
463,Josh Gordon,
464,Josh Greenbaum,Hombre
465,Josh Trank,Hombre
466,Joss Whedon,Hombre
467,José Padilha,Hombre
468,Juan Carlos Fresnadillo,Hombre
469,Judd Apatow,Hombre
470,Juel Taylor,Hombre
471,Julia Leigh,Mujer
472,Julius Avery,Hombre
473,Justin Lin,Hombre
474,Justin Simien,Hombre
475,Karan Boolani,Hombre
476,Karyn Kusama,Mujer
477,Kat Coiro,Mujer
478,Kathryn Bigelow,Mujer
479,Kay Cannon,Mujer
480,Keenen Ivory Wayans,Hombre
481,Kelly Fremon Craig,Mujer
482,Kelly Reichardt,Mujer
483,Ken Kwapis,Hombre
484,Ken Loach,Hombre
485,Kenneth Branagh,Hombre
486,Kenneth Lonergan,Hombre
487,Kenya Barris,Hombre
488,Kevin Costner,Hombre
489,Kevin Greutert,Hombre
490,Kevin Lewis,Hombre
491,Kevin Macdonald,Hombre
492,Kevin Reynolds,Hombre
493,Kevin Smith,Hombre
494,Kimberly Peirce,Mujer
495,Kitty Green,Mujer
496,Kornél Mundruczó,Hombre
497,Kristoffer Borgli,Hombre
498,Kurtis David Harder,Hombre
499,Kyle Edward Ball,Hombre
500,Lana Wachowski,Mujer
501,Larry Charles,Hombre
502,Lars von Trier,Hombre
503,Lasse Hallström,Lasse Hallström
504,Laura Terruso,Mujer
505,Laure de Clermont-Tonnerre,Mujer
506,Lawrence Kasdan,Hombre
507,Lee Cronin,Hombre
508,Lee Tamahori,Hombre
509,Lee Toland Krieger,Hombre
510,Lee Unkrich,Hombre
511,Leigh Whannell,Hombre
512,Len Wiseman,Hombre
513,Lenny Abrahamson,Hombre
514,Leos Carax,Hombre
515,Lewis Gilbert,Hombre
516,Lindsey Anderson Beer,Mujer
517,Lorcan Finnegan,Hombre
518,Lorene Scafaria,Mujer
519,Louis Leterrier,Hombre
520,Louis Malle,Hombre
521,Luc Besson,Hombre
522,Luca Guadagnino,Hombre
523,Luke Greenfield,Hombre
524,Luke Snellin,Hombre
525,M. Night Shyamalan,Hombre
526,Macon Blair,Hombre
527,Maggie Betts,Mujer
528,Maggie Gyllenhaal,Mujer
529,Marc Forster,Hombre
530,Marc Lawrence,Hombre
531,Marc Turtletaub,Hombre
532,Marc Webb,Hombre
533,Marco Brambilla,Hombre
534,Marcus Nispel,Hombre
535,Mark Andrews,Hombre
536,Mark Dindal,Hombre
537,Mark L. Lester,Hombre
538,Mark Mylod,Hombre
539,Mark Osborne,Hombre
540,Mark Romanek,Hombre
541,Mark Sandrich,Hombre
542,Mark Steven Johnson,Hombre
543,Mark Waters,Hombre
544,Martha Coolidge,Mujer
545,Martin Brest,Hombre
546,Martin Campbell,Hombre
547,Martin McDonagh,Hombre
548,Martin Scorsese,Hombre
549,Mary Harron,Mujer
550,Mary Lambert,Mujer
551,Maryam Keshavarz,Mujer
552,Matt Angel,Hombre
553,Matt Bettinelli-Olpin,Hombre
554,Matt Brown,Hombre
555,Matt Johnson,Hombre
556,Matt Reeves,Hombre
557,Matt Ross,Hombre
558,Matt Ruskin,Hombre
559,Matthew Heineman,Hombre
560,Matthew López,Hombre
561,Matthew Vaughn,Hombre
562,Matthew Warchus,Hombre
563,Matthias Schweighöfer,Hombre
564,Max Barbakow,Hombre
565,McG,Hombre
566,Meg Ryan,Mujer
567,Megan Park,Mujer
568,Mel Brooks,Hombre
569,Mel Gibson,Hombre
570,Mel Stuart,Hombre
571,Michael Apted,Hombre
572,Michael B. Jordan,Hombre
573,Michael Bay,Hombre
574,Michael Chaves,Hombre
575,Michael Cimino,Hombre
576,Michael Cristofer,Hombre
577,Michael Curtiz,Hombre
578,Michael Dinner,Hombre
579,Michael Dougherty,Hombre
580,Michael Dowse,Hombre
581,Michael Engler,Hombre
582,Michael Gracey,Hombre
583,Michael Haneke,Hombre
584,Michael Jacobs,Hombre
585,Michael Lehmann,Hombre
586,Michael Lembeck,Hombre
587,Michael Mann,Hombre
588,Michael Matthews,Hombre
589,Michael Mayer,Hombre
590,Michael Mohan,Hombre
591,Michael Sarnoski,Hombre
592,Michael Spierig,Hombre
593,Michael Winterbottom,Hombre
594,Michel Franco,Hombre
595,Michel Gondry,Hombre
596,Mick Jackson,Hombre
597,Miguel Sapochnik,Hombre
598,Mikael Håfström,Hombre
599,Mike Flanagan,Hombre
600,Mike Hodges,Hombre
601,Mike Judge,Hombre
602,Mike Mitchell,Hombre
603,Mike Newell,Hombre
604,Mike Nichols,Hombre
605,Mike P. Nelson,Hombre
606,Mike Roth,Hombre
607,Milos Forman,Hombre
608,Mimi Cave,Mujer
609,Mitchell Leisen,Hombre
610,Molly Gordon,Mujer
611,Molly Manning Walker,Mujer
612,Morten Tyldum,Hombre
613,Nahnatchka Khan,Mujer
614,Nancy Meyers,Mujer
615,Nathan Greno,Hombre
616,Neil Burger,Hombre
617,Neil Jordan,Hombre
618,Neil LaBute,Hombre
619,Neil Marshall,Hombre
620,Neill Blomkamp,Hombre
621,Nia DaCosta,Mujer
622,Nia Vardalos,Mujer
623,Nicholas D. Johnson,Hombre
624,Nicholas Maggio,Hombre
625,Nicholas Stoller,Hombre
626,Nick Bruno,Hombre
627,Nick Cassavetes,Hombre
628,Nicol Paone,Mujer
629,Nicolas Winding Refn,Hombre
630,Nicole Holofcener,Mujer
631,Niki Caro,Mujer
632,Nima Nourizadeh,Hombre
633,Nimród Antal,Hombre
634,Ninja Thyberg,Mujer
635,Noah Baumbach,Hombre
636,Noam Murro,Hombre
637,Nora Ephron,Mujer
638,Norman Jewison,Hombre
639,Ol Parker,Hombre
640,Oliver Hermanus,Hombre
641,Oliver Parker,Hombre
642,Oliver Stone,Hombre
643,Olivia Newman,Mujer
644,Olivia Wilde,Mujer
645,Olivier Megaton,Hombre
646,Orson Welles,Hombre
647,P.J. Hogan,Hombre
648,Pablo Larraín,Hombre
649,Panos Cosmatos,Hombre
650,Parker Finn,Hombre
651,Patrick Hughes,Hombre
652,Patrick Wilson,Hombre
653,Patty Jenkins,Mujer
654,Paul Briganti,Hombre
655,Paul Feig,Hombre
656,Paul Greengrass,Hombre
657,Paul Haggis,Hombre
658,Paul King,Hombre
659,Paul McGuigan,Hombre
660,Paul Michael Glaser,Hombre
661,Paul Schrader,Hombre
662,Paul Thomas Anderson,Hombre
663,Paul Verhoeven,Hombre
664,Paul W.S. Anderson,Hombre
665,Paul Weitz,Hombre
666,Penelope Spheeris,Mujer
667,Penny Marshall,Mujer
668,Pete Docter,Hombre
669,Pete Travis,Hombre
670,Peter Atencio,Hombre
671,Peter Berg,Hombre
672,Peter Billingsley,Hombre
673,Peter Bogdanovich,Hombre
674,Peter Cattaneo,Hombre
675,Peter Chelsom,Hombre
676,Peter Faiman,Hombre
677,Peter Farrelly,Hombre
678,Peter Godfrey,Hombre
679,Peter Greenaway,Hombre
680,Peter Jackson,Hombre
681,Peter Lord,Hombre
682,Peter R. Hunt,Hombre
683,Peter Ramsey,Hombre
684,Peter Segal,Hombre
685,Peter Sohn,Hombre
686,Peter Weir,Hombre
687,Peyton Reed,Hombre
688,Phil Alden Robinson,Hombre
689,Phil Lord,Hombre
690,Phil Traill,Hombre
691,Philip Barantini,Hombre
692,Phillip Noyce,Hombre
693,Phyllida Lloyd,Mujer
694,Pierre Coffin,Hombre
695,Pierre Morel,Hombre
696,Pierre Perifel,Hombre
697,Preston A. Whitmore II,Hombre
698,Quentin Tarantino,Hombre
699,Raja Gosnell,Hombre
700,Ramin Bahrani,Hombre
701,Randal Kleiser,Hombre
702,Randall Wallace,Hombre
703,Randy Zisk,Hombre
704,Rawson Marshall Thurber,Hombre
705,Ray Romano,Hombre
706,Rebecca Miller,Mujer
707,Reginald Hudlin,Hombre
708,Renny Harlin,Hombre
709,Rhys Frake-Waterfield,Hombre
710,Rian Johnson,Hombre
711,Ric Roman Waugh,Hombre
712,Richard Attenborough,Hombre
713,Richard Curtis,Hombre
714,Richard Donner,Hombre
715,Richard Kelly,Hombre
716,Richard Linklater,Hombre
717,Ridley Scott,Hombre
718,Roar Uthaug,Hombre
719,Rob Cohen,Hombre
720,Rob Letterman,Hombre
721,Rob Marshall,Hombre
722,Rob McKittrick,Hombre
723,Rob Reiner,Hombre
724,Rob Savage,Hombre
725,Rob Schmidt,Hombre
726,Robert Aldrich,Hombre
727,Robert Altman,Hombre
728,Robert De Niro,Hombre
729,Robert Eggers,Hombre
730,Robert Iscove,Hombre
731,Robert Luketic,Hombre
732,Robert Marianetti,Hombre
733,Robert Mulligan,Hombre
734,Robert Rodriguez,Hombre
735,Robert Schwentke,Hombre
736,Robert Stevenson,Hombre
737,Robert Stromberg,Hombre
738,Robert Tinnell,Hombre
739,Robert Wise,Hombre
740,Robert Zemeckis,Hombre
741,Robin Hardy,Hombre
742,Roger Allers,Hombre
743,Roger Donaldson,Hombre
744,Roger Kumble,Hombre
745,Roger Michell,Hombre
746,Roger Spottiswoode,Hombre
747,Roger Vadim,Hombre
748,Roland Emmerich,Hombre
749,Roman Polanski,Hombre
750,Ron Clements,Hombre
751,Ron Howard,Hombre
752,Ronald Neame,Hombre
753,Rowdy Herrington,Hombre
754,Roy Del Ruth,Hombre
755,Ruben Fleischer,Hombre
756,Ruben Östlund,Hombre
757,Rupert Sanders,Hombre
758,Rupert Wyatt,Hombre
759,Russell Mulcahy,Hombre
760,Ryan Coogler,Hombre
761,S. Craig Zahler,Hombre
762,Sam Boyd,Hombre
763,Sam Esmail,Hombre
764,Sam Fell,Hombre
765,Sam H. Freeman,
766,Sam Hargrave,Hombre
767,Sam Mendes,Hombre
768,Sam Raimi,Hombre
769,Sam Taylor-Johnson,Mujer
770,Sammi Cohen,Mujer
771,Samuel Bodin,Hombre
772,Sarah Polley,Mujer
773,Sarah Smith,Mujer
774,Savage Steve Holland,Hombre
775,Scott Beck,Hombre
776,Scott Cooper,Hombre
777,Scott Derrickson,Hombre
778,Scott Mann,Hombre
779,Scott Stewart,Hombre
780,Scott Waugh,Hombre
781,Scott Wiper,Hombre
782,Sean Anders,Hombre
783,Sean Baker,Hombre
784,Sean Durkin,Hombre
785,Sean Ellis,Hombre
786,Sean Penn,Hombre
787,Sebastián Lelio,Hombre
788,Sergio Leone,Hombre
789,Sergio Pablos,Hombre
790,Seth Gordon,Hombre
791,Seth Kearsley,Hombre
792,Seth MacFarlane,Hombre
793,Severin Fiala,Hombre
794,Shane Acker,Hombre
795,Shane Black,Hombre
796,Sharon Maguire,Mujer
797,Shawn Levy,Hombre
798,Sidney Lumet,Hombre
799,Simon Cellan Jones,Hombre
800,Simon Curtis,Hombre
801,Simon Kinberg,Hombre
802,Simon McQuoid,Hombre
803,Simon West,Hombre
804,Sofia Coppola,Mujer
805,Sophia Takal,Mujer
806,Sophie Hyde,Mujer
807,Spike Jonze,Hombre
808,Spike Lee,Hombre
809,Stanley Donen,Hombre
810,Stanley Kubrick,Hombre
811,Stefano Sollima,Hombre
812,Stephen Chbosky,Hombre
813,Stephen Daldry,Hombre
814,Stephen Donnelly,Hombre
815,Stephen Gray,Hombre
816,Stephen Herek,Hombre
817,Stephen Kessler,Hombre
818,Stephen Norrington,Hombre
819,Stephen Sommers,Hombre
820,Steve Antin,Hombre
821,Steve Barron,Hombre
822,Steve McQueen,Hombre
823,Steve Pink,Hombre
824,Steven Caple Jr.,Hombre
825,Steven LaMorte,Hombre
826,Steven R. Monroe,Hombre
827,Steven Shainberg,Hombre
828,Steven Soderbergh,Hombre
829,Steven Spielberg,Hombre
830,Susanna Fogel,Mujer
831,Susanne Bier,Mujer
832,Sydney Pollack,Hombre
833,Sylvester Stallone,Hombre
834,Taika Waititi,Hombre
835,Tamra Davis,Mujer
836,Tarsem Singh,Hombre
837,Tate Taylor,Hombre
838,Taylor Hackford,Hombre
839,Taylor Sheridan,Hombre
840,Ted Demme,Hombre
841,Ted Kotcheff,Hombre
842,Terence Young,Hombre
843,Terrence Malick,Hombre
844,Terry Gilliam,Hombre
845,Terry Jones,Hombre
846,Terry Zwigoff,Hombre
847,Thaddeus O'Sullivan,Hombre
848,Thea Sharrock,Mujer
849,Theodore Melfi,Hombre
850,Thomas Bezucha,Hombre
851,Thomas Carter,Hombre
852,Thomas Kail,Hombre
853,Thomas M. Wright,Hombre
854,Thor Freudenthal,Hombre
855,Ti West,Hombre
856,Tim Burton,Hombre
857,Tim McCanlies,Hombre
858,Tim Miller,Hombre
859,Timothy Reckart,Hombre
860,Timur Bekmambetov,Hombre
861,Tina Satter,Mujer
862,Tobe Hooper,Hombre
863,Todd Field,Hombre
864,Todd Haynes,Hombre
865,Todd Phillips,Hombre
866,Todd Strauss-Schulson,Hombre
867,Tom Ford,Hombre
868,Tom George,Hombre
869,Tom Gormican,Hombre
870,Tom Harper,Hombre
871,Tom Hooper,Hombre
872,Tom McCarthy,Hombre
873,Tom McGrath,Hombre
874,Tom Shadyac,Hombre
875,Tom Six,Hombre
876,Tom Tykwer,Hombre
877,Tomas Alfredson,Hombre
878,Tomasz Baginski,Hombre
879,Tommy Wirkola,Hombre
880,Tony Bancroft,
881,Tony Kaye,Hombre
882,Tony Scott,Hombre
883,Travis Knight,Hombre
884,Tristram Shapeero,Hombre
885,Troy Duffy,Hombre
886,Troy Miller,Hombre
887,Tyler MacIntyre,Hombre
888,Tyler Nilson,
889,Tyler Spindel,Hombre
890,Vanessa Caswill,Mujer
891,Vasilis Katsoupis,Hombre
892,Victor Fleming,Hombre
893,Vince Gilligan,Hombre
894,Vincente Minnelli,Hombre
895,Walt Dohrn,Hombre
896,Walter Hill,Hombre
897,Wayne Wang,Hombre
898,Wes Anderson,Hombre
